Name,Link,Nationality,Birth,Demise
"Avati, Mario",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=2943,French,born 1921,Unknown
"Aved, Jacques-Andre-Joseph-Camelot",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=2944,French,1702,1766
"Avedisian, Edward",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=5903,American,born 1936,Unknown
"Aveline, Pierre-Alexandre",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=2946,French,probably 1702,1760
"Aveline, Francois-Antoine",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=6034,French,1727,1780
"Aveline, Antoine",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=19749,French,1691,1743
"Avelli, Francesco Xanto",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=2336,Italian,active 1530/1542,Unknown
"Avercamp, Hendrick",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=129,Dutch,1585,1634
"Averlino, Antonio",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=5763,Italian,c. 1400,c. 1469
"Averlino, Antonio di Pietro",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=5763,Italian,c. 1400,c. 1469
"Averlino, called Filarete, Antonio",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=5763,Italian,c. 1400,c. 1469
"Avery, Milton",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=2947,American,1885,1965
"Avery, George A.",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=6455,American,mentioned 1868,active 1871/1881
"Avery, March",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=26467,Unknown,Unknown,Unknown
"Aviler, Augustin-Charles d'",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=11388,French,1653,1701
"Aviline, Francois Antoine",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=6034,French,1727,1780
"Avril I, Jean-Jacques",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=2948,French,1744,1831
"Axmann, Mikolas",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=24893,Czech,born 1955,Unknown
"Aycock, Alice",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=6511,American,born 1946,Unknown
"Ayers, G.A.",https://web.archive.org/web/20080619170350/http://www.nga.gov/cgi-bin/tsearch?artistid=7220,American,active c. 1935,Unknown
"Ayres, Rolland",https://web.archive.org/web/20080619170350/http://www.nga.gov/cgi-bin/tsearch?artistid=7221,American,active c. 1935,Unknown
"Azuma, Norio",https://web.archive.org/web/20080619170350/http://www.nga.gov/cgi-bin/tsearch?artistid=2949,American,born 1928,Unknown
"Azuma, Kengiro",https://web.archive.org/web/20080619170350/http://www.nga.gov/cgi-bin/tsearch?artistid=5927,Japanese,born 1926,Unknown
"Azzarone, Jennifer",https://web.archive.org/web/20080619170350/http://www.nga.gov/cgi-bin/tsearch?artistid=25879,Unknown,Unknown,Unknown
